Trialn,TrialType,Partner,Feedback,ITI,ISI
1,5,2,2,3,8.500000e-01
2,2,1,2,2,2.550000e+00
3,4,2,1,4,8.500000e-01
4,1,1,1,4,1.700000e+00
5,5,2,2,2,8.500000e-01
6,2,1,2,2,8.500000e-01
7,1,1,1,2,8.500000e-01
8,4,2,1,4,8.500000e-01
9,4,2,1,1,8.500000e-01
10,5,2,2,1,1.700000e+00
11,6,2,3,2,8.500000e-01
12,3,1,3,4,2.550000e+00
13,4,2,1,1,2.550000e+00
14,1,1,1,4,8.500000e-01
15,5,2,2,4,2.550000e+00
16,3,1,3,3,1.700000e+00
17,6,2,3,3,2.550000e+00
18,1,1,1,2,1.700000e+00
19,6,2,3,2,1.700000e+00
20,6,2,3,4,1.700000e+00
21,6,2,3,1,8.500000e-01
22,6,2,3,4,2.550000e+00
23,5,2,2,2,1.700000e+00
24,4,2,1,4,2.550000e+00
25,4,2,1,2,8.500000e-01
26,3,1,3,1,1.700000e+00
27,6,2,3,1,8.500000e-01
28,3,1,3,2,1.700000e+00
29,2,1,2,4,8.500000e-01
30,3,1,3,3,2.550000e+00
31,6,2,3,3,8.500000e-01
32,4,2,1,2,1.700000e+00
33,4,2,1,1,1.700000e+00
34,1,1,1,1,2.550000e+00
35,4,2,1,3,2.550000e+00
36,6,2,3,4,1.700000e+00
37,6,2,3,1,2.550000e+00
38,1,1,1,1,2.550000e+00
39,3,1,3,2,1.700000e+00
40,4,2,1,1,2.550000e+00
41,3,1,3,3,2.550000e+00
42,4,2,1,3,2.550000e+00
43,6,2,3,2,1.700000e+00
44,1,1,1,1,2.550000e+00
45,1,1,1,2,1.700000e+00
46,2,1,2,1,1.700000e+00
47,1,1,1,4,8.500000e-01
48,2,1,2,2,1.700000e+00
49,1,1,1,2,1.700000e+00
50,3,1,3,1,8.500000e-01
51,1,1,1,1,2.550000e+00
52,3,1,3,1,8.500000e-01
53,3,1,3,3,2.550000e+00
54,3,1,3,3,8.500000e-01
