Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,1,8.500000e-01
2,6,2,3,4,2.550000e+00
3,5,2,2,3,1.700000e+00
4,2,1,2,3,8.500000e-01
5,3,1,3,2,2.550000e+00
6,6,2,3,3,8.500000e-01
7,3,1,3,3,8.500000e-01
8,4,2,1,2,2.550000e+00
9,5,2,2,3,2.550000e+00
10,3,1,3,1,1.700000e+00
11,4,2,1,3,1.700000e+00
12,6,2,3,1,1.700000e+00
13,4,2,1,4,1.700000e+00
14,3,1,3,2,8.500000e-01
15,4,2,1,4,8.500000e-01
16,4,2,1,3,1.700000e+00
17,1,1,1,3,2.550000e+00
18,1,1,1,1,1.700000e+00
19,3,1,3,3,8.500000e-01
20,2,1,2,1,2.550000e+00
21,6,2,3,4,1.700000e+00
22,1,1,1,2,8.500000e-01
23,6,2,3,3,8.500000e-01
24,4,2,1,4,1.700000e+00
25,5,2,2,1,8.500000e-01
26,3,1,3,3,2.550000e+00
27,6,2,3,4,8.500000e-01
28,3,1,3,1,2.550000e+00
29,4,2,1,2,8.500000e-01
30,1,1,1,4,1.700000e+00
31,1,1,1,1,2.550000e+00
32,3,1,3,2,2.550000e+00
33,3,1,3,4,2.550000e+00
34,6,2,3,2,2.550000e+00
35,1,1,1,2,1.700000e+00
36,3,1,3,4,2.550000e+00
37,5,2,2,4,2.550000e+00
38,4,2,1,1,2.550000e+00
39,1,1,1,1,2.550000e+00
40,1,1,1,2,1.700000e+00
41,2,1,2,3,1.700000e+00
42,3,1,3,3,8.500000e-01
43,1,1,1,1,1.700000e+00
44,4,2,1,1,8.500000e-01
45,6,2,3,2,1.700000e+00
46,6,2,3,2,8.500000e-01
47,4,2,1,2,8.500000e-01
48,6,2,3,4,2.550000e+00
49,4,2,1,1,1.700000e+00
50,6,2,3,2,2.550000e+00
51,1,1,1,2,1.700000e+00
52,2,1,2,3,1.700000e+00
53,5,2,2,1,8.500000e-01
54,1,1,1,3,8.500000e-01
