TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,3,8.500000e-01,1.0,0.0,2.7000206e-06,0.010246,4.010374,4.3041363,2.0,5.249268,0.9451317,5.3497095,2.3048682,7.6571574,8.0,7.657302,8.670613,4.366477,8.670783,11.673201,--
2,2,3,1,3,4,2.550000e+00,1.0,1.0,--,--,--,11.681201,2.0,12.515287,0.8340861,12.615659,4.115914,16.733746,6.0,16.73386,17.740187,6.0589857,17.74033,21.742413,--
3,3,6,2,3,4,2.550000e+00,1.0,2.0,--,--,--,21.953617,2.0,22.581789,0.6281732,22.68215,4.321827,27.005793,8.0,27.005913,28.010954,6.0573378,28.011097,32.014202,--
4,4,2,1,2,4,8.500000e-01,1.0,3.0,--,--,--,32.01739,2.0,32.748943,0.7315521,32.84931,2.5184479,35.3697,5.0,35.369823,36.37741,4.3600187,36.377552,40.37895,--
5,5,2,1,2,1,2.550000e+00,1.0,4.0,--,--,--,40.380657,2.0,41.01534,0.6346815,41.11572,4.3153186,45.438156,5.0,45.438282,46.442898,6.062241,46.443047,47.445473,--
6,6,3,1,3,4,8.500000e-01,1.0,5.0,--,--,--,47.44731,3.0,48.38193,0.9346177,48.48234,2.3153822,50.799786,3.0,50.799904,51.80717,4.3598595,51.807316,55.80925,--
7,7,3,1,3,2,8.500000e-01,1.0,6.0,--,--,--,55.810955,3.0,56.434395,0.6234399,56.534798,2.6265602,59.1632,2.0,59.16332,60.16864,4.357683,60.168785,62.17028,--
8,8,4,2,1,4,1.700000e+00,1.0,7.0,--,--,--,62.38843,3.0,64.2493,1.8608637,64.349655,2.2391362,66.59103,8.0,66.59115,67.59715,5.208721,67.5973,71.599014,--
9,9,1,1,1,1,2.550000e+00,1.0,8.0,--,--,--,71.602036,3.0,72.43267,0.8306365,72.533035,4.1193633,76.65535,8.0,76.655464,77.65977,6.057736,77.65991,78.661995,--
10,10,1,1,1,3,1.700000e+00,1.0,9.0,--,--,--,78.66368,2.0,80.016426,1.3527476,80.1168,2.7472525,82.86729,4.0,82.86741,83.87882,5.2151465,83.878975,86.88113,--
11,11,2,1,2,3,1.700000e+00,1.0,10.0,--,--,--,86.88297,3.0,87.9171,1.0341258,88.01747,3.065874,91.08591,5.0,91.08603,92.09113,5.208156,92.09128,95.09272,--
12,12,4,2,1,1,2.550000e+00,1.0,11.0,--,--,--,95.29554,2.0,96.54947,1.2539309,96.64983,3.696069,100.348694,2.0,100.34881,101.35414,6.0585976,101.35429,102.35544,--
13,13,6,2,3,1,1.700000e+00,1.0,12.0,--,--,--,102.5522,3.0,103.99981,1.4476092,104.100174,2.6523907,106.75579,1.0,106.75591,107.76332,5.2111173,107.76347,108.765144,--
14,14,4,2,1,3,2.550000e+00,1.0,13.0,--,--,--,108.97194,2.0,109.91624,0.9443,110.01661,4.0057,114.02327,2.0,114.0234,115.02797,6.0560293,115.028114,118.03092,--
15,15,6,2,3,1,2.550000e+00,1.0,14.0,--,--,--,118.23927,2.0,119.482796,1.2435257,119.58317,3.7064743,123.29217,8.0,123.29229,124.31368,6.074415,124.313835,125.315315,--
16,16,5,2,2,3,8.500000e-01,1.0,15.0,--,--,--,125.514824,3.0,126.55009,1.0352584,126.650536,2.2147417,128.86784,5.0,128.86797,129.87296,4.35813,129.87311,132.87473,--
17,17,6,2,3,4,1.700000e+00,1.0,16.0,--,--,--,133.07343,2.0,134.11673,1.0433085,134.2171,3.0566914,137.27585,9.0,137.27596,138.2824,5.20897,138.28253,142.28389,--
